City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kasane,-17.8167,25.15,23.21,17,0,3.26,BW,1695846255
1,maloye ganyushkino,46.6,49.2667,20.98,40,4,2.48,KZ,1695846256
2,beaufort west,-32.3567,22.583,14.21,59,0,4.65,ZA,1695846256
3,agat village,13.3886,144.6585,26.52,92,40,0.0,GU,1695846256
4,berezna,51.5716,31.7846,13.39,74,8,3.28,UA,1695846256
5,ribeira grande,38.5167,-28.7,23.22,94,75,8.23,PT,1695846256
6,puerto ayora,-0.7393,-90.3518,27.98,90,79,3.13,EC,1695846256
7,koulikoro,14.0,-7.75,26.61,66,100,3.73,ML,1695846256
8,pikalevo,59.5183,34.1664,12.07,78,36,2.81,RU,1695846188
9,walvis bay,-22.9575,14.5053,14.53,82,0,6.17,NA,1695846257
10,nadym,65.5333,72.5167,5.86,93,100,4.22,RU,1695846257
11,hermanus,-34.4187,19.2345,12.99,82,0,6.25,ZA,1695846257
12,yellowknife,62.456,-114.3525,10.79,97,100,3.09,CA,1695846257
13,haverfordwest,51.8017,-4.9691,15.77,88,100,4.92,GB,1695846257
14,ust-tsilma,65.441,52.1498,9.9,93,92,3.04,RU,1695846258
15,fort bragg,35.139,-79.006,20.75,70,100,5.66,US,1695846258
16,adamstown,-25.066,-130.1015,20.93,64,100,3.16,PN,1695846258
17,avarua,-21.2078,-159.775,23.03,88,75,6.69,CK,1695846203
18,port-aux-francais,-49.35,70.2167,1.76,69,76,13.51,TF,1695846258
19,puerto natales,-51.7236,-72.4875,5.25,65,40,2.06,CL,1695846258
20,youghal,51.95,-7.8506,14.75,95,99,12.96,IE,1695846258
21,edinburgh of the seven seas,-37.0676,-12.3116,12.0,64,57,13.26,SH,1695846259
22,roma,43.2128,-75.4557,21.06,44,0,5.14,US,1695846259
23,prainha,-1.8,-53.48,37.51,30,43,2.01,BR,1695846259
24,wanning,18.8003,110.3967,25.99,89,100,0.75,CN,1695846259
25,grytviken,-54.2811,-36.5092,0.75,80,4,4.0,GS,1695846259
26,bugalagrande,4.2121,-76.1556,30.05,55,45,1.51,CO,1695846214
27,kapuskasing,49.4169,-82.4331,20.05,40,20,4.63,CA,1695846000
28,colonia,50.9333,6.95,20.46,72,0,3.6,DE,1695846081
29,ancud,-41.8697,-73.8203,9.81,77,29,8.37,CL,1695846260
30,klyuchi,52.2667,79.1667,10.45,54,100,4.02,RU,1695846260
31,pansemal,21.65,74.7,26.38,82,68,1.43,IN,1695846260
32,kavieng,-2.5744,150.7967,24.96,94,100,5.17,PG,1695846260
33,margaret river,-33.95,115.0667,15.1,85,15,4.41,AU,1695846260
34,yushu,44.8,126.5333,8.61,83,0,3.9,CN,1695846260
35,archangelos,36.2149,28.1149,25.17,80,23,3.21,GR,1695846261
36,al mawsil al jadidah,36.3346,43.0978,30.19,19,1,1.56,IQ,1695846261
37,mount isa,-20.7333,139.5,14.87,51,1,2.06,AU,1695846261
38,constantia,44.1833,28.65,19.38,69,52,7.33,RO,1695846249
39,papatowai,-46.5619,169.4708,8.24,86,100,5.59,NZ,1695846261
40,longyearbyen,78.2186,15.6401,-8.09,73,20,3.09,SJ,1695846035
41,navia,43.5354,-6.7194,18.23,95,73,0.4,ES,1695846261
42,bousso,10.4795,16.7117,27.58,71,56,1.74,TD,1695846261
43,ust-nera,64.5667,143.2,3.36,96,100,3.54,RU,1695846262
44,waitangi,-43.9535,-176.5597,11.57,97,94,4.02,NZ,1695846262
45,mirny,62.5353,113.9611,5.79,66,99,3.39,RU,1695846262
46,talnakh,69.4865,88.3972,-3.77,87,51,2.35,RU,1695846262
47,port mathurin,-19.6833,63.4167,22.46,78,55,7.73,MU,1695846262
48,vadso,70.0744,29.7487,8.49,87,100,6.17,NO,1695846262
49,bel ombre,-4.6167,55.4167,26.91,89,40,7.2,SC,1695846262
50,panaba,21.2833,-88.2667,29.93,63,99,5.64,MX,1695846262
51,hawaiian paradise park,19.5933,-154.9731,27.16,80,40,0.45,US,1695846263
52,belmonte,-15.8631,-38.8828,25.89,74,6,7.12,BR,1695846263
53,nosivka,50.9315,31.5828,14.88,64,6,3.26,UA,1695846263
54,kingston,17.997,-76.7936,33.53,66,40,4.63,JM,1695846263
55,kapa'a,22.0752,-159.319,27.99,78,98,2.24,US,1695846263
56,derbent,42.0678,48.2899,18.89,59,0,2.8,RU,1695846263
57,carutapera,-1.195,-46.02,28.42,67,15,4.93,BR,1695846263
58,bredasdorp,-34.5322,20.0403,11.9,87,0,4.15,ZA,1695846264
59,enewetak,11.3474,162.3373,28.06,79,98,5.53,MH,1695846264
60,daru,-9.0763,143.2092,24.62,85,100,7.33,PG,1695846264
61,itoman,26.1247,127.6694,28.01,86,20,4.63,JP,1695846264
62,kudahuvadhoo,2.6708,72.8944,27.5,74,97,3.6,MV,1695846264
63,lihue,21.9789,-159.3672,27.58,79,94,6.8,US,1695846264
64,manokwari,-0.8667,134.0833,25.31,80,100,2.04,ID,1695846264
65,alavus,62.5833,23.6167,13.95,90,100,4.9,FI,1695846264
66,iqaluit,63.7506,-68.5145,2.85,74,40,11.32,CA,1695846265
67,olinda,-8.0089,-34.8553,26.85,69,20,4.63,BR,1695846265
68,hotan,37.0997,79.9269,16.96,21,0,1.58,CN,1695846265
69,hamilton,39.1834,-84.5333,23.41,86,40,3.6,US,1695846265
70,olonkinbyen,70.9221,-8.7187,3.47,96,100,10.05,SJ,1695846265
71,qaqortoq,60.7167,-46.0333,1.74,91,100,6.38,GL,1695846265
72,axim,4.8699,-2.2405,25.37,89,11,3.44,GH,1695846266
73,fortuna,40.5982,-124.1573,18.85,80,75,5.14,US,1695846266
74,blackmans bay,-43.0167,147.3167,11.4,75,39,2.49,AU,1695846266
75,nova sintra,14.8667,-24.7167,23.32,81,98,8.2,CV,1695846266
76,georgetown,5.4112,100.3354,27.23,91,20,2.24,MY,1695846135
77,bemidji,47.4736,-94.8803,18.92,81,100,3.6,US,1695846261
78,selkirk,50.1436,-96.8845,21.77,62,25,3.58,CA,1695846266
79,gadani,25.1185,66.7299,29.12,81,0,2.81,PK,1695846266
80,tiksi,71.6872,128.8694,-1.89,80,100,3.2,RU,1695846267
81,greenville,35.6127,-77.3663,20.08,85,100,3.6,US,1695845955
82,bethel,41.3712,-73.414,20.47,59,0,4.63,US,1695846267
83,west island,-12.1568,96.8225,24.99,83,16,5.14,CC,1695846267
84,dolores,-36.3132,-57.6792,17.0,58,18,4.28,AR,1695846267
85,itaituba,-4.2761,-55.9836,38.09,41,20,1.06,BR,1695846267
86,san patricio,28.017,-97.5169,35.97,38,92,4.17,US,1695846267
87,udachny,66.4167,112.4,1.92,80,65,7.08,RU,1695846268
88,bamboo flat,11.7,92.7167,25.05,94,100,2.57,IN,1695846268
89,thompson,55.7435,-97.8558,21.09,56,100,7.2,CA,1695846268
90,invercargill,-46.4,168.35,8.34,95,91,4.02,NZ,1695846268
91,bakewar,26.6667,79.1833,27.55,60,0,1.57,IN,1695846268
92,lata,40.1629,-8.3327,19.95,86,94,1.0,PT,1695846268
93,mazamari,-11.3258,-74.5308,34.25,39,85,0.84,PE,1695846269
94,tome,-36.6167,-72.95,13.34,66,92,4.32,CL,1695846210
95,tazovsky,67.4667,78.7,0.31,99,100,4.32,RU,1695846269
